track_name,lyrics,playlist_genre,playlist_subgenre,track_artist,duration_ms,language,track_album_release_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,valence
Tomake Lagche Bhari Chena,"তোমাকে লাগছে ভারি চেনা, যেন কোন জনমের চেনা সাথী তুমি আমার। হয়তো কোনো এক অতীত জীবনে আমরা নদীর কূলে বসে স্বপ্নের জাল বুনেছিলাম। তোমার ঐ চোখের চাহনি আর গলার স্বর আমার হৃদয়ে এক পুরনো সুরের ঝংকার তোলে। এই পৃথিবীর ভিড়ে কত মানুষ আসে আর যায়, কিন্তু তোমায় দেখেই কেন আমার হিয়া এমন ব্যাকুল হলো? মনের মণিকোঠায় যেন তোমার এক ঝাপসা ছবি আঁকা ছিল অনেক আগে থেকেই। আজ হঠাৎ তোমায় সামনে পেয়ে মনে হচ্ছে আমার সব পথের শেষ গন্তব্য তুমিই। তুমি কি চিনতে পারছো আমায়? আমাদের সেই না বলা কথাগুলো আজও বাতাসের দীর্ঘশ্বাসে মিশে আছে। তোমাকে লাগছে ভারি চেনা, এই অনুভুতিটাই আজ আমার জীবনের শ্রেষ্ঠ প্রাপ্তি হয়ে ধরা দিয়েছে এই মায়াবী বসন্ত রাতে।",Bangla Film,Duet Playback,Bappi Lahiri|Alka Yagnik,347000,bn,2021-02-03 00:00:00,0.55,0.575,0.257,0.95,-10.007,0.07,150.08,0,0,0.035
Esho Go Jweley,"এসো গো জ্বলে প্রদীপ হয়ে আমার এই অন্ধকার ঘরে। জীবনের সবটুকু গ্লানি আর নিরাশা ধুয়ে দাও তোমার পবিত্র আলোয়। অনেকদিন হলো আমি এই একাকীত্বের অন্ধকারে পথ হারিয়ে ফেলেছি। তোমার আগমনে যেন আমার শুষ্ক মরু হৃদয়ে নতুন প্রাণের সঞ্চার হয়। প্রদীপের শিখার মতো তুমিও জেগে থাকো আমার হৃদয়ের মণিকোঠায়। ভক্তির এই অর্ঘ্য আমি সাজিয়েছি শুধু তোমারই জন্য। চারদিকের কুয়াশা সরিয়ে তুমি নিয়ে এসো এক স্বচ্ছ ভোরের রোদ্দুর। এসো গো জ্বলে, তোমার এই মায়াবী আলোর ছোঁয়ায় আমার প্রতিটি কাজ যেন সার্থক হয়। জগত আজ ধন্য হোক তোমার এই দিব্য জ্যোতির স্পর্শে। আমার এই নিভৃত সাধনা যেন তোমার চরণে পূর্ণতা পায়। প্রদীপের শিখা যেমন উর্ধ্বমুখী হয়, আমার লক্ষ্যও যেন তেমনি মহৎ আর সুন্দর হয় তোমার এই আলোকবর্তিকার ছায়ায়।",Rabindra Sangeet,Tagore Classic,Debabrata Biswas,183000,bn,2022-05-04 00:00:00,0.28,0.72,0.549,0.94,-12.765,0.05,150.055,0,0,0.01
Amar Sakal Raser Dhara,"আমার সকল রসের ধারা তোমায় ঘিরেই বয়ে চলে ওগো প্রিয়। আমার হাসিতে, আমার কান্নায় শুধু তোমারই প্রতিচ্ছবি ফুটে ওঠে প্রতিটি পংক্তিতে। জীবনের এই বিচিত্র পথে আমি যা কিছু সৃষ্টি করেছি, সবই তোমায় সঁপেছি হৃদয়ের সবটুকু আবেগ দিয়ে। তুমি আমার সুরের মূর্ছনা, তুমি আমার কাব্যের ছন্দ। বনের হরিণী যেমন জল দেখে ব্যাকুল হয়, আমার মনও তেমনি তোমার প্রেমের রসে সিক্ত হতে চায়। সবটুকু বিরহ আর সবটুকু মিলন আজ এক সুরে মিলেমিশে একাকার হয়ে গেছে। তোমার সান্নিধ্যেই আমার জীবন পূর্ণতা পায়। কোনো কৃত্রিমতা নেই, নেই কোনো জাগতিক মোহ। আমি শুধু তোমারই মায়ায় মিশে থাকতে চাই আজীবন। আমার সকল রসের ধারা যেন শেষ পর্যন্ত তোমারই ঐ অতল সমুদ্রের মতো হৃদয়ে গিয়ে মেশে। তুমিই আমার শুরু আর তুমিই আমার শেষ।",Bangla Film,Duet Playback,Hemant Kumar|Aarti Mukherji,194000,bn,2004-07-11 00:00:00,0.58,0.851,0.241,0.808,-13.578,0.091,149.999,0,11,0.0739
"Ore Bondhure, Ore Sathi Re","ওরে বন্ধুরে ওরে সাথীরে, এই পথ চলা যেন কোনোদিন শেষ না হয়। জীবনের এই চড়াই-উতরাই পেরিয়ে আমরা একে অপরের হাত ধরে হাঁটবো সুদূর নীলিমার পথে। যখন আকাশ মেঘে ঢাকা পড়ে আর নিরাশার অন্ধকার ঘনায়, তখন তোমার ঐ হাসিমাখা মুখই আমায় সাহস যোগায়। পৃথিবীর সব বাধা আমরা একসাথে জয় করবো আমাদের এই অটুট বন্ধুত্বের জোরে। কোনো স্বার্থ নেই, কোনো মিথ্যা নেই—শুধু আছে এক বুক মমতা আর বিশ্বাস। ওরে বন্ধুরে, তুই ছাড়া এই পৃথিবীটা বড়ই ধূসর মনে হয়। বিপদে-আপদে তুই আছিস বলেই আমি আজও মাথা উঁচু করে দাঁড়িয়ে আছি। আমাদের এই প্রাণের টান যেন যুগের পর যুগ অমর হয়ে থাকে। এসো মোরা মিলেমিশে এক নতুন পৃথিবী গড়ি যেখানে শুধু ভালোবাসার গান হবে। তুই আমার চিরদিনের সাথী, আমার সব সুখের অংশীদার।",Bangla Film,Romantic Playback,Kishore Kumar,240000,bn,2015-07-05 00:00:00,0.17,0.83,0.75,0.61,-11.313,0.04,150.019,1,7,0.04
Na Bole Esechhi,"না বলে এসেছি তোমার দুয়ারে, কারণ আমার মন আর কোনো বাধা মানতে চায়নি। অভিমানে কি এমন দেওয়াল তুলেছিলে যে আমার কোনো ডাক তোমার কানে পৌঁছায়নি? আজ আর কোনো লুকোচুরি নয়, শুধু তোমার সামনে দাঁড়িয়ে নিজের সবটুকু সমর্পণ করতে চাই। অনেক পথ হেঁটেছি একাকী, অনেক দীর্ঘশ্বাস ফেলেছি নির্জন রাতে। আজ আর নিজেকে সামলাতে পারলাম না। না বলে আসার এই চপলতাটুকু তুমি ক্ষমা করে দিও। তোমার ঐ মায়াবী চোখের চাহনি দেখার জন্য আমি চাতকের মতো ব্যাকুল হয়েছিলাম। এই আধো আলো আর আধো ছায়ায় আমাদের হৃদয়ের আদান-প্রদান হোক নিঃশব্দে। কথা না বলেও কত কথা বলা হয়ে যায় আমাদের এই নীরবতায়। ভালোবাসা কেন এমন পাগল করে আমি জানি না। না বলে এসেছি, এখন শুধু আমায় তোমার মনের ঘরে একটু ঠাঁই দাও প্রিয়।",Bangla Film,Romantic Playback,Aarti Mukherji,201000,bn,2019-08-03 00:00:00,0.77,0.313,0.796,0.103,-8.549,0.01,149.855,0,8,0.06
Ja Ja Ja Bhule Ja,"যা যা যা ভুলে যা সেই পুরনো দিনের সব গ্লানি আর সব দুঃখ। জীবনের রেলগাড়ি এক স্টেশন থেকে অন্য স্টেশনে ছুটে চলেছে, তাই পুরনো বোঝা বয়ে লাভ নেই কোনো। যা হারিয়েছে তা হয়তো কোনোদিন পাওনাই ছিল না। মিছে কেন এই দীর্ঘশ্বাস আর কেন এই না পাওয়ার বেদনা? আজকের এই নতুন সূর্য তোমায় ডাকছে আগামীর পথে। মুছে ফেলো চোখের জল, হাসো আবার নতুনের ছন্দে। সময় বড়ই নিষ্ঠুর, সে কারো জন্য অপেক্ষা করে না। তাই নিজেকে বদলে নাও পরিস্থিতির সাথে সাথে। যা গেছে তা শুধুই এক ধূসর অতীত যা বর্তমানকে ঝাপসা করে দেয়। নতুন করে স্বপ্ন দেখো, নতুন করে ভালোবাসো এই সুন্দর ধরাতলে। যা ভুলে যাওয়ার তা ভুলে যাওয়াই ভালো। তবেই খুঁজে পাবে আসল শান্তি আর মুক্তির দিশা। এই জীবনটা অনেক বড়, তাই অতীতে থেকো না।",Bangla Film,Melancholy Playback,Lata Mangeshkar,206000,bn,2006-06-11 00:00:00,0.43,0.42,0.773,0.38,-13.076,0.04,150.004,0,8,0.0475
Keno Je Kandao Bare Bare,"কেন যে কাঁদাও বারে বারে আমায় ওগো নিঠুর প্রিয়? আমি তো তোমায় ভালোবেসেছিলাম হৃদয়ের সবটুকু পবিত্রতা দিয়ে। তবে কেন এই অবহেলা আর কেন এই বিরহের দহন? আমার চোখের জল কি তোমায় একটুও নাড়া দেয় না? প্রতিটি মুহূর্ত আমি তোমার স্মৃতি নিয়ে বেঁচে আছি, আর তুমি আমায় ভুলে গিয়ে আছো অন্য কোনো ভুবনে। ভালোবাসা কি তবে শুধুই একতরফা এক দীর্ঘশ্বাস? যমুনার তটে দাঁড়িয়ে আজও আমি তোমার প্রতীক্ষায় দিন গুনি। বাতাসের শোঁ শোঁ শব্দে তোমারই হাসির প্রতিধ্বনি শুনতে পাই। কিন্তু তুমি তো পাষাণ হয়ে আছো। আর কত পরীক্ষা নেবে আমার এই সাধারণ মনের? চোখের জলে আজ আমার হিয়া ভিজে গেছে। দোহাই তোমার, আর কাঁদিও না। ফিরে এসো আবার পরম মমতায়, আমার এই অশান্ত মনকে শান্ত করতে একটিবার অন্তত দেখা দাও প্রিয়।",Bangla Film,Romantic Playback,Lata Mangeshkar,218000,bn,2008-01-03 00:00:00,0.82,0.813,0.702,0.083,-7.47,0.041,149.81,0,11,0.0792
E Ki Chanchalata Jage,"এ কী চঞ্চলতা জাগে আমার মনে আজ! কিসের এই ব্যাকুলতা আর কিসের এই হাতছানি তা আমি নিজেও জানি না। বসন্তের এই মাতাল হাওয়ায় মন যেন ঘরছাড়া হতে চায় অজানার টানে। নীল আকাশে আজ রঙিন মেঘেদের লুকোচুরি খেলা দেখে আমার হিয়া ডানা মেলে উড়তে চায়। জীবনের একঘেয়েমি ছেড়ে আমি পেতে চাই এক নতুন স্বাদ। বনের হরিণী যেমন জল দেখে চঞ্চল হয়, আমার মনও তেমনি কোনো এক অজানা সুরের খোঁজে দিশেহারা। প্রতিটি ধূলিকণা আর প্রতিটি লতা পাতা আজ যেন আমায় ডাকছে মায়ার ভুবনে। এই অস্থিরতা আমাকে শান্ত হতে দিচ্ছে না এক মুহূর্তের জন্য। আমি চাই পৃথিবীর সব সীমানা পেরিয়ে এক মুক্ত বিহঙ্গ হয়ে দিগন্তের ওপারে হারিয়ে যেতে। এ কী চঞ্চলতা, যা আমার রক্তে নাচিয়ে তোলে এক নতুন বিদ্রোহের গান। আমি চললাম আজ নতুনের সন্ধানে।",Bangla Film,Romantic Playback,Hemant Kumar,189000,bn,2018-02-02 00:00:00,0.02,0.8,0.345,0.604,-7.166,0.06,154.983,0,0,0.0619
Moner Janala Dhore Unki Diye,"মনের জানালা ধরে উঁকি দিয়ে দেখি ওই দূর নীলিমায়, যেখানে স্বপ্নরা আজও ডানা মেলে উড়ছে মুক্ত বিহঙ্গের মতো। অনেকদিন হলো আমি এই একাকীত্বের কারাগারে বন্দি হয়ে আছি। তোমার একটি হাসির রোদ্দুর আসুক আমার এই অন্ধকার ঘরে। বাইরের পৃথিবী আজ কত রঙিন, কত ছন্দময়! আমি চাই সেই ছন্দে নিজেকে বিলিয়ে দিতে। আমার মনে যে জড়তা জমেছে, তা তুমি দূর করে দাও তোমার মায়াবী স্পর্শে। জানালার ঐ ওপারে যে দিগন্ত বিস্তৃত মাঠ আছে, সেখানে চলো মোরা হারিয়ে যাই নিভৃতে। সব ভয় আর দ্বিধা ঝেড়ে ফেলে চলো প্রেমের এই খোলা আকাশে ডানা মেলি দুজনে। তোমার ভালোবাসা যেন আমার জীবনের সব মরচে পড়া তালা খুলে দেয় চিরকালের জন্য। আজ থেকে শুধু আলো আসুক, আজ থেকে শুধু খুশির গান হোক আমাদের এই হৃদয়ের কোণে। মন জানালা খুলে দিলাম তোমারই প্রতীক্ষায়।",Bangla Film,Romantic Playback,Hemant Kumar,205000,bn,2006-03-11 00:00:00,0.49,0.52,0.418,0.647,-10.569,0.03,150.013,0,1,0.0765
Ogo Moner Duyare Danriye Theko Na,"ওগো মনের দুয়ারে দাঁড়িয়ে থেকো না, ভেতরে এসো পরম মমতায়। আমার এই হৃদয়ের মন্দির আজ তোমারি আগমনে ধন্য হতে চায়। কেন দ্বিধা করছো বাইরে দাঁড়িয়ে? তোমার জন্য আমি প্রদীপ জ্বেলে বসে আছি এই নির্জন গোধূলি বেলায়। এই ছোট্ট ঘরটি আজ তোমাকেই উৎসর্গ করলাম। তোমার পায়ের ছোঁয়ায় আমার প্রতিটি কোণ হয়ে উঠুক সুবাসিত আর ছন্দময়। ভালোবাসা তো অধিকার নয়, ভালোবাসা হলো একে অপরকে আপন করে নেওয়ার এক পবিত্র প্রার্থনা। এসো মোরা দুজনে মিলে এই অন্ধকারে প্রেমের এক নতুন পৃথিবী গড়ি যেখানে কোনো দুঃখের ছায়া পড়বে না। তোমার নীরবতা আমাকে বড়ই অশান্ত করে তুলছে। মনের দুয়ার খুলে দিলাম চিরকালের মতো। আর ফিরে যেয়ো না ওগো প্রিয়, আমার এই একাকীত্বের অবসান ঘটাও তোমার ঐ মায়াবী সান্নিধ্যে। আজ থেকে তুমিই হলে আমার এই মনের ঘরের একচ্ছত্র রানী।",Bangla Film,Romantic Playback,Aarti Mukherji,202000,bn,2018-09-12 00:00:00,0.46,0.24,0.719,0.023,-7.205,0.0725,155.012,1,7,0.0346
Kichhu To Chahini Ami,"কিছু তো চাইনি আমি তোমার কাছে, শুধু চেয়েছিলাম একটু ভালোবাসা আর একটু মমতা। পৃথিবীর সব ঐশ্বর্য আর ধন-রত্ন আমার কাছে অর্থহীন মনে হয় তোমার একটি হাসির সামনে। আমি তো পথভোলা এক পথিক, তোমার মায়ার ছায়ায় একটু আশ্রয় চেয়েছিলাম। কেন আমায় রিক্ত হাতে ফিরিয়ে দিলে এই বিমর্ষ সন্ধ্যায়? আমার কোনো দাবি ছিল না, কোনো অভিযোগ ছিল না। শুধু একাকীত্বের নিভৃত রাতে তোমার স্মৃতিটুকু সম্বল করে বাঁচতে চেয়েছিলাম। ভালোবাসা কি তবে অপরাধ? কেন মানুষ মানুষকে এমন করে উপেক্ষা করে আমি জানি না। আজ যখন একা দাঁড়িয়ে আছি নক্ষত্রের নিচে, তখন মনে হয় আমার সব সাধনা আজ বিফলে গেল। তবুও আমি তোমায় ভালোবেসে যাবো সারা জনম ধরে কোনো প্রতিদান ছাড়া। কিছু তো চাইনি আমি, শুধু চেয়েছিলাম তোমার ঐ মায়াবী চোখের এক চিলতে করুণা।",Bangla Film,Romantic Playback,Lata Mangeshkar,209000,bn,2009-04-07 00:00:00,0.61,0.727,0.195,0.087,-10.352,0.01,150.071,0,11,0.07
Ektu Baso Chole Jeo Na,"একটু বসো চলে যেও না, তোমার সাথে কত কথা বাকি আছে এই নির্জন গোধূলি বেলায়। তুমি পাশে থাকলে মনটা বড়ই শান্তি পায়, পৃথিবীর সব কোলাহল যেন অনেক দূরে সরে যায়। কেন এত তাড়া তোমার চলে যাওয়ার? আকাশের ঐ রাঙা মেঘেরা যেন বলছে আমাদের আরও কিছুক্ষণ একসাথে থাকতে। তোমার চোখের ঐ মায়াবী চাহনিতে আমি নিজেকে নতুন করে খুঁজে পাই। কথা বলো না চুপ করে থাকো, শুধু তোমার উপস্থিতিই আমার জীবনের শ্রেষ্ঠ সম্পদ। আমাদের এই না বলা কথাগুলো যেন এক গভীর রহস্যের মতো আমাদের আষ্টেপৃষ্ঠে জড়িয়ে রাখে। ভালোবাসা মানে তো একে অপরের সান্নিধ্য উপভোগ করা। একটু বসো প্রিয়, এই মুহূর্তটি যেন মহাকালের পাতায় অমর হয়ে লেখা থাকে আমাদের প্রেমের সাক্ষী হয়ে। তোমার হাতটি ধরে আমি অনুভব করি এক পরম নিস্তব্ধতা যা হাজারো শব্দের চেয়েও মূল্যবান।",Bangla Film,Melancholy Playback,Asha Bhosle,295000,bn,2003-01-10 00:00:00,0.66,0.86,0.81,0.926,-11.939,0.05,149.94,0,11,0.08
Akash Keno Daake,"আকাশ কেন ডাকে জানিনা, কেন মন হারায় ওই সুদূর নীল সীমানায়। মেঘেদের সাথে লুকোচুরি খেলে আমার এই উদাস মন আজ ঘরছাড়া হতে চায়। কোনো বাধা নেই, কোনো পিছুটান নেই—শুধু আছে ডানা মেলে ওড়ার এক অদম্য ইচ্ছা। পৃথিবীর এই যান্ত্রিকতা থেকে মুক্তি পেতে আমি পাড়ি দেবো নক্ষত্রের দেশে। যখন নীলিমার কোলে সূর্য হাসে, তখন আমার হৃদয়ে এক নতুন সংগীতের জন্ম হয়। আকাশ কি তবে কোনো গোপন খবর নিয়ে আসে আমার জন্য? তার বিশালতা আমাকে শিখিয়ে দেয় সংকীর্ণতা ভুলে উদার হতে। আমি চাই এক মুক্ত বিহঙ্গ হয়ে দিগন্তের ওপারে হারিয়ে যেতে। বনের লতা পাতা আর পাহাড়ের চূড়া আমায় হাতছানি দিয়ে ডাকে। আকাশ কেন ডাকে তা হয়তো আমার প্রতিটি নিশ্বাসে মিশে থাকা স্বাধীনতারই এক নামহীন আর্তি। আমি চললাম আজ অজানার টানে সেই নীলিমার খোঁজে।",Bangla Film,Romantic Playback,Kishore Kumar,194000,bn,2011-12-01 00:00:00,0.92,0.094,0.342,0.063,-10.484,0.084,155.013,1,1,0.013
Aakash Bhara,"আকাশ ভরা সূর্য তারা, বিশ্বভরা প্রাণ, তাহারি মাঝে আমি পেয়েছি আমার স্থান। প্রকৃতির এই বিশালতায় আমি এক অতি সামান্য ধূলিকণা হলেও, আমার অস্তিত্ব আজ ধন্য এই সুন্দর ভুবনে। প্রতিটি নক্ষত্র আর প্রতিটি নিশ্বাসে আমি অনুভব করি এক অলৌকিক শক্তির ছোঁয়া। নীল আকাশের ঐ উদারতা আমাদের শেখায় ক্ষুদ্র স্বার্থ ভুলে মহান হতে। ঘাসের প্রতিটি ডগায় আর শিশির বিন্দুতে জীবনের জয়গান ধ্বনিত হয়। কেন আমরা মিছে অহংকার করি? এই তো জগত যেখানে সবাই মিলেমিশে একাকার। মহাবিশ্বের এই ছন্দে আমি আমার নিজের সুরটি খুঁজে পাই। আকাশ ভরা সৌন্দর্যের মাঝে আমি এক মুগ্ধ দর্শক। হে বিধাতা, তোমার এই অপরূপ সৃষ্টি দেখে আমার হিয়া কাঁপে শ্রদ্ধায়। আমি ধন্য যে এই অমৃতের ধারায় আমারও একটু ঠাঁই হয়েছে। জগত জুড়ে আজ শুধু আনন্দের জয়ধ্বনি।",Rabindra Sangeet,Tagore Nature,Debabrata Biswas,171000,bn,2003-10-06 00:00:00,0.72,0.41,0.048,0.961,-11.729,0.02,150.056,1,10,0.05
Dhoronako Shantrimoshai,"ধরো নাকো শান্ত্রীমশাই, ধরো নাকো আমায় অকারণে। আমি তো এক সাধারণ মানুষ, গানের ডালি নিয়ে চলেছি পথের বাঁকে বাঁকে। আমার কাছে কোনো অস্ত্র নেই, নেই কোনো ষড়যন্ত্রের মায়া। আমি তো শুধু মানুষের মনে আনন্দ বিলিয়ে দিতে চাই। কেন মিছে কেন আমায় সন্দেহ করো? রাজার হুকুমে হয়তো তুমি তোমার কাজ করছো, কিন্তু হৃদয়ের ডাক কি তুমি শুনতে পাও না? আমাদের এই খঞ্জনী আর ঢোলের শব্দে কোনো বিদ্রোহ নেই, আছে শুধু প্রেমের জয়গান। পৃথিবীটা অনেক বড়, এখানে শান্তির বড়ই অভাব। আমাদের মতো বাউলদের ডানা কেন বাঁধতে চাও মিথ্যে আইনে? শান্ত্রীমশাই, ছেড়ে দাও আমাদের পথ। আমরা তো এসেছি শুধু সুরের মায়ায় জগতকে রাঙিয়ে তুলতে। সংগীতের কোনো সীমা নেই, কোনো পরাধীনতা নেই। আমাদের মুক্তি দাও সুরের ঐ খোলা আকাশে।",Children's Music,Comic Song,Anup Ghoshal,101000,bn,2019-01-04 00:00:00,0.1,0.335,0.677,0.731,-6.52,0.0266,150.049,0,9,0.02
Aaj Jiban Khunje Pabi,"আজ জীবন খুঁজে পাবি এই মরণ ধরাতলে, যদি মনের সব কালিমা ধুয়ে ফেলতে পারিস ভালোবাসার ঝরনায়। কেন মিছে কেন এই ভয় আর কেন এই নিরাশা? প্রতিটি সূর্যাস্ত আমাদের মনে করিয়ে দেয় এক নতুন ভোরের কথা। দুঃখের কালো মেঘ যখন কেটে যাবে, তখন দেখবি আকাশ ভরা নক্ষত্রেরা তোকে হাসিমুখে বরণ করতে দাঁড়িয়ে আছে। জীবনের প্রতিটি মুহূর্ত মূল্যবান, তাই তাকে অবহেলা করিস না। সাহসী হয়ে এগিয়ে চল আগামীর পথে। নতুনের আহ্বানে সাড়া দে। যা হারিয়েছে তা তো ফিরবে না, কিন্তু যা আছে তাকেই জড়িয়ে ধর পরম মমতায়। আজ জীবন খুঁজে পাবি যদি তুই সত্যকে চিনতে পারিস। মানুষের সেবা আর ত্যাগের মাঝেই লুকিয়ে আছে জীবনের আসল সার্থকতা। ভয়কে জয় কর, তবেই পাবি মুক্তির স্বাদ। জগত আজ তোকে চাইছে এক নতুন বীরের সাজে।",Adhunik Bangla,Romantic Modern,Bhupen Hazarika,168000,bn,2004-10-07 00:00:00,0.07,0.4,0.264,0.797,-13.468,0.0387,149.541,0,11,0.09
Bhoy Dekhas Na (The Agnee Version),"ভয় দেখাস না ওরে ও কালবৈশাখী ঝড়, আমার হৃদয়ে তো আগে থেকেই ঝড়ের আনাগোনা। বিদ্যুতের চমক আর মেঘের ডাক আমাকে আর ভীত করতে পারে না। আমি তো সেই মানুষ যে সব হারিয়েও মাথা উঁচু করে দাঁড়িয়ে আছে। ভাগ্যের নিষ্ঠুর পরিহাসে আমি অনেক আগেই পুড়ে খাঁটি হয়েছি। তোমার এই তর্জন-গর্জন আমাকে দমাতে পারবে না। বনের গাছেরা হয়তো নুয়ে পড়তে পারে, কিন্তু আমার সংকল্প আজও অটল। অন্ধকার রাতের এই বিভীষিকা আমি জয় করবো আমার মনের জোর দিয়ে। ভয়কে আমি জয় করেছি ভালোবাসার আগুনে। তাই মিছে কেন গর্জন করো? শান্ত হও হে রুদ্র প্রকৃতি, আমায় আপন করার চেষ্টা করো না। আমি এক নির্ভীক পথিক, মৃত্যুর দুয়ারে দাঁড়িয়েও আমি জীবনের জয়গান গাইবো। ভয়কে যারা ভয় পায় তারা তো মৃত, আমি আজও জীবন্ত এই অসীম সাহসের জোরে। কালবৈশাখী তোর প্রলয় নাচনে আমি ভীত নই।",Adhunik Bangla,Romantic Modern,Mohan Kannan,371000,bn,2008-06-10 00:00:00,0.58,0.821,0.299,0.736,-11.757,0.0624,154.996,1,6,0.0475
Ami Sahebo Noi Golamo Noi,"আমি সাহেবও নই গোলামও নই, আমি এক সাধারণ মানুষ এই বাংলার মাটি আর মানুষের সন্তান। কোনো পদমর্যাদা বা রাজকীয় জৌলুস আমাকে টানে না। আমি ভালোবাসি ধুলোমাখা পথ আর কৃষকের সহজ সরল হাসি। আমার রক্তে বইছে বীরত্বের গাথা আর মনে আছে এক বুক ভালোবাসা। পরাধীনতার শৃঙ্খল আমাকে দমাতে পারবে না। আমি কোনো বিজাতীয় প্রথায় নিজেকে বন্দি করতে চাই না। আমার ধুতি আর পাঞ্জাবিই আমার অহংকার। আমি সাহেবদের মতো চাটুকার নই, আবার গোলামের মতো মাথা নত করি না অন্যায়ের কাছে। আমি এক মুক্ত বিহঙ্গ, আমি গাইবো স্বাধীনতার গান। এই পুণ্যভূমি ভারতমাতা আমার গর্ব। মানুষের মুক্তি আর অধিকারের লড়াইয়ে আমি সবসময় প্রথম সারিতে থাকবো। আমি সাহেবও নই গোলামও নই, আমি শুধুই এক দেশপ্রেমিক যার হৃদয়ে শুধু জননী জন্মভূমিশ্চ স্বর্গাদপি গরীয়সী।",Bangla Film,Melancholy Playback,Hemant Kumar,155000,bn,2010-09-06 00:00:00,0.67,0.28,0.204,0.532,-4.373,0.0634,150.008,0,10,0.01
Hayre Pora Banshi,"হায়রে পোড়া বাঁশি, কেন তুই এমন করে ডাকিস নিশীথ রাতে? তোর ঐ জাদুকরী সুরে আমার শান্ত জীবন আজ ঘরছাড়া হয়েছে। আমি তো ছিলাম কুলবধূ, লোকলজ্জার ভয়ে নিজেকে ঢেকে রেখেছিলাম। কিন্তু তোর ঐ মায়াবী ডাক যে আমার সব সামাজিক বাঁধন এক নিমেষে ছিঁড়ে দিল। যমুনার তটে যখন শ্যাম বাঁশি বাজায়, তখন বনের লতা পাতা আর পশু-পাখিরাও স্তব্ধ হয়ে যায়। ওরে পোড়া বাঁশি, তুই কিসের বিষম জ্বালা আমার হিয়ায় ধরিয়ে দিলি? প্রেমের এই নদী সাঁতার কেটে আমি আজ কূলে পৌঁছাতে পারছি না। তোর প্রতিটি রন্ধ্রে রন্ধ্রে যেন রাধার বিরহ গাথা লেখা আছে। আর বাজিস না ওরে বংশী, আমার হিয়া বড়ই তপ্ত। তোর ঐ সুর আমাকে পাগল করে পথে পথে ঘুরাচ্ছে এক উদাস বিরহী হয়ে। হায়রে পোড়া বাঁশি, তুই আমার সবটুকু শান্তি কেড়ে নিয়ে আমায় বানালে এক পথহারা গোপিনী।",Bangla Film,Romantic Playback,Lata Mangeshkar,315000,bn,2019-12-06 00:00:00,1.0,0.728,0.223,0.44,-13.259,0.02,155.006,0,5,0.0129
Tomader Aasare Aaj,"তোমাদের আসরে আজ আমি এসেছি গানের ডালি নিয়ে, হৃদয়ের সবটুকু আবেগ মিশিয়ে। এখানে গুণীজনদের মেলা, এখানে সুর আর তালের এক পবিত্র সংগম। আমার এই সাধারণ কণ্ঠস্বর যদি আপনাদের মনে একটুও আনন্দ দিতে পারে, তবেই আমার এই পথচলা সার্থক হবে। সংগীত তো কোনো সীমানা মানে না, এ হলো হৃদয়ের সাথে হৃদয়ের এক আত্মিক যোগ। আপনাদের আশীর্বাদ আর ভালোবাসা পাথেয় করে আমি গান গেয়ে যেতে চাই সারা জীবন। এই আসরে আজ পূর্ণিমার চাঁদের মতো খুশির আলো ঝরুক। প্রতিটি স্বর যেন এক একটি অনুভূতির জন্ম দেয় আপনাদের অন্তরে। আমি কোনো যতি জানি না, জানি শুধু প্রাণের ডাক। সুরের ভেলায় চড়ে আসুন মোরা হারিয়ে যাই এক মায়াবী ভুবনে। আপনাদের এই ভালোবাসাই আমার শ্রেষ্ঠ পুরস্কার। আজ এই সুন্দর লগ্নে আমি নিজেকে সঁপে দিলাম সংগীতের এই মহতী আঙিনায়।",Bangla Film,Romantic Playback,Lata Mangeshkar,278000,bn,2004-01-04 00:00:00,0.78,0.95,0.107,0.304,-9.531,0.0668,150.0,0,2,0.05
Amar Mon Manne Na,"আমার মন মানে না কোনো বাধা, বারে বারে ছুটে যায় তোমারই ঐ মায়াবী দুয়ারে। আমি তাকে কতবার বারণ করেছি, কতবার বলেছি মায়ার শিকল ছিঁড়ে বেরিয়ে আসতে। কিন্তু সে তো বড়ই অবুঝ, তোমার একটি হাসির টানে সে সব ভুলে যায়। নীল আকাশের মেঘেদের মতো সেও আজ ঘরছাড়া। তোমার ঐ কাজল কালো চোখে যে গভীর সমুদ্রের মায়া আছে, তাতে সে বারবার ডুবে যেতে চায়। কেন এমন হয় আমি জানি না। এই ছটফটানি, এই অস্থিরতা আমাকে শান্ত হতে দেয় না এক মুহূর্তের জন্য। চারদিকের কোলাহল যেন আমার কানে এসে বাজছে না। আমি শুধু অপেক্ষা করছি তোমার একটা ইশারার জন্য। আমার মন মানে না, সে শুধু তোমারই হয়ে থাকতে চায় আজীবন। ভালোবাসা তো এক অলৌকিক অনুভূতি যা কোনো যুক্তি বা ব্যাকরণ মানে না। আমি শুধু তোমায় ভালোবেসে যাবো সারা জনম।",Bangla Film,Romantic Playback,Asha Bhosle,226000,bn,2006-03-04 00:00:00,0.25,0.108,0.673,0.945,-7.949,0.01,154.965,1,5,0.0669
